ItemID,Sentiment,SentimentSource,SentimentText
3091,0,Sentiment140, I want it BACK NOW!: http://bit.ly/PP1WZ
3931,1,Sentiment140, lub you too baby!
1595,0,Sentiment140, i just need my snuggle buddy backkk
3111,0,Sentiment140," I WISH MY BESTIEBYTCH WAS HERE AND NOT DEAD LEAVING ME ALL ALONE RIP AMIEE I HELLA MISS HER, SHE WAS THAT 1 PERSON WHO INDERSTOOD ALL"
2418,1,Sentiment140, Honorary Hollywood Mom Mafia: @bostonmamas @PetiteMommy @blissnine @MomSquadBlog @all_moms @twitterparents @MomsofAmerica #FollowFriday
1567,0,Sentiment140, i have a headache!!!
2748,1,Sentiment140," I just don't know how to begin this twitter thing. Anyway, I'm taking up my back subject this summer. Hope I'll cope up."
5200,0,Sentiment140,#13 not being allowed off school. 
4228,0,Sentiment140, My sunglasses are full of Ben&amp;JerryÂ´s !!
5594,1,Sentiment140,#asot400 Yes they are. Episode 001 now 
4074,1,Sentiment140, when i come around :  )
771,0,Sentiment140, @lisad stopped talking to me. I should stalk her. ^^
4972,1,Sentiment140, Travel is sorted! Went into town - and found National Express had disappeared :S Thankyou porn for the internet! I now have an e-ticket!
5821,0,Sentiment140,#BestFamousTweets -- Melissa Gilbert has talked to me....  Don't think Kirstie has.  
435,0,Sentiment140,  I dont want my sister to leave me for the whole summer!
5676,0,Sentiment140,#fuckgfw Google and Gmail still down here in Chengdu!  can access google.cn as before. http://bit.ly/2vwDU3
4784,1,Sentiment140,"#dnd minions are nice, but building a wolfpack of minions is not a very fun idea. Sorry players, now, let's try some brutes and casters "
2165,0,Sentiment140, GUESS WHAT!!?? JONAS CD 'LVATT' comes out This Friday here in Australia... That's The Day I leave for my trip 
4839,0,Sentiment140, The quote in the middle of this section is discouraging. I'll get it in the DSM yet! http://is.gd/wyOr
3760,0,Sentiment140, It's starting to thunder. I can hear it rolling towards us..
2120,1,Sentiment140, goodnight all. Doodadoo lives good
5431,0,Sentiment140,#FollowFriday In honor of my web buddies who moved.  @warpdesign @cianan @BigToach @mikedelgado
709,0,Sentiment140," , Alllllan ruins my lifeeee."
4346,0,Sentiment140, off to exam nowww... cant wait for 5PM....
2071,0,Sentiment140, im now free tonight. Dinner got cancald  downer
1038,0,Sentiment140,"- @PJ - @alexjreid's family friend who died is also my old art teacher  very sad, he was a madcap teacher we all liked"
4271,1,Sentiment140,!!!!! I just saw the FUSE commercial for DMB playing at Beacon Theatre!!  made me super excited!
4966,0,Sentiment140, Tooth ache since Friday... hope I can see the dentist tomorrow...
5903,0,Sentiment140,#brandchat We'll b missing @davidsandusky 2day  so we'll miss his input but look 4ward 2 all branditos thoughts and insights!
2612,0,Sentiment140, i go on twitter nd find out he has a girl :'(
5791,0,Sentiment140, No more witty #Squarespace Tweets...
3643,1,Sentiment140, its a wiccan wedding too.. I love this show @chelseafawcett
4189,1,Sentiment140, yay for summer!!! Its officially summer when there are a lot of teenagers in the pool!! Lol
3003,0,Sentiment140, I really miss you. you don't understand how much you really mean to me.
2329,0,Sentiment140, its 8 o clock and my parents STILL are not home  they ditched me i think  how depressing lol
5407,1,Sentiment140,#followfriday @weeyin @carolemoyes @carole29 @arancinibaby @tyrelassie @keryje  Hot hot hot!  Great Tweeps!  
1691,0,Sentiment140, i look so beautiful today lol(in my dreams) and yet there is nobody around who wants to do anything 
4739,1,Sentiment140, steak and shake
3376,0,Sentiment140, Realized that ManagingOnlineForums hasn't been reviewed on AMZN in May! I'd love if someone would share their thoughts! http://is.gd/JolG
760,0,Sentiment140, @HitzProductions unfortunately I'm coming from NJ the boonies...I gotta drive to the path
5867,1,Sentiment140, now it's not my home page  &lt;3
1891,1,Sentiment140, Excited. Dont think i will sleep tonight!
4973,0,Sentiment140, trying to find an acting audition (its hard!)
5625,0,Sentiment140, my puppy found a rat and she dragged it to the back door..
1529,1,Sentiment140, can't stop smiling after talking to him all day...  ...Why couldn't I have met him months ago?!?
5824,0,Sentiment140,#bgt  Two Grand... is awful   go away please.
2447,0,Sentiment140, joe and stella. stop being so cute. i only know disney is tempting me with forbidden fruit.
1242,1,Sentiment140," any day now, any way now. I Shall Be Released."
4927,0,Sentiment140, thinking about haveing to go back to college tomorrow
5944,0,Sentiment140,#honestysundays I never get more that 4 hours of sleep Mon-Fir 
896,0,Sentiment140,"- @littlecharva - if the front wasn't black on both, I would have got the white one. As it is, the black looks sleek &amp; the white doesn't "
3978,1,Sentiment140, very happy about the weekend.
2008,0,Sentiment140, First time in a long time Wikipedia has failed me
1243,0,Sentiment140, Anyone have any connections to getting SOLD OUT tix for Duran Duran at The Fillmore???!
5891,0,Sentiment140,"#BGT Well that's it,,,she's gonna win. . . Fuckin hell "
5315,1,Sentiment140,#Follow Friday wtf is that? lo I'm guessing this is it lol: @HumanCollective @GaxAngel @caffeinatedKiss @befosaur 
1995,1,Sentiment140, im followin demi she rocks
3622,1,Sentiment140, in love with some guy who lives in miami... Fail!
5140,1,Sentiment140, your amazing
6046,0,Sentiment140,#ie8 looks ok but doesn't seem to allow feed subs with google reader and delicious buttons seems broke. 
3375,1,Sentiment140, random silly texts from great friends makes face and tummy hurt from laughing too much... simple mind simple pleasures lol
2624,0,Sentiment140," I had to postpone the photoshoot. Stupid Wisconsin weather. Why can't it be sunny? Working out, tanning, preschool grad night, then out!"
2501,1,Sentiment140," i can't stand Ravenna, but tonight it's really nice."
876,0,Sentiment140," @electrograffiti I know but I'll miss having someone to bitch about Brussels trams, metro, bad customer service, lack of quorn.. etc."
344,0,Sentiment140,     @riceuniversiity I know huh @Kouture85 Im bout to cry@Ahmier thanks Marco! *muah*
2374,0,Sentiment140, how the duck am i supposed to write 1500 art history words on something i can hardly see!
3410,0,Sentiment140," secretly fighting over boys , secretly Jealous of there 'flirting' .. Hmm , i'm sick of it  and i can't go any longer. Sorry hun. . ."
1835,0,Sentiment140, i swear to cheese &amp; crackers @songzyuuup is in Detroit like every 2 months &amp; i NEVER get to see him!  i swear this blows monkeyballs!
1368,0,Sentiment140, baby ethans leaving for the PI tomorrow.
5808,0,Sentiment140,#badsex when u cant hit it from the back and GO IN! 
3888,0,Sentiment140, time should go by
2588,0,Sentiment140, I got a D in foundation mock http://twitpic.com/7slt4
4981,0,Sentiment140, twitter will not let me change my background image. Deleted the old one and now it won't let me post a new one. sadness...
4026,0,Sentiment140," mum and stephan are argueing noo, stop it please. it will only lead on to worser things and my foods gonna get cold. what a plarva."
2987,0,Sentiment140, i missed two friends weddings this weekend and i'm super sad. and i miss my best friends. and.. i could keep complaining but i won't.
1748,1,Sentiment140, eeep i love her. so glad she's around.... hannahh! you said you'd text you never didd!
2191,0,Sentiment140, I'm too scared to go on holiday these days:  http://tinyurl.com/lkgtac Nightmare after nightmare of plane crashes. Sadface.
4862,0,Sentiment140,#dontyouhateitwhen you get paper to print pictures on to iron on to a shirt but your MS Word won't invert the picture? 
3968,0,Sentiment140, twitter's not letting me post my photo.
3558,0,Sentiment140, srsly I understood you first time. I was just think of the answer for 1.5 seconds. Repeating in &lt;English just pissed me off.
426,0,Sentiment140,  Exercise 2 build muscle mass is only thing that speeds metabolism: http://tinyurl.com/bvagbj
3294,1,Sentiment140, one more final then bye bye school.
3015,0,Sentiment140, i still get teary eyed when i see p.s. i love you
5309,0,Sentiment140,"#flylady ok, lost my motivation after that nap, tea not kicked in yet  have 15 minutes till I have to leave to pick up kids"
6047,0,Sentiment140,#iforum but xenserver 'make the tea' option still someway off 
3945,0,Sentiment140, Maths G.C.S.E tomorrow why ? haha listening to McFly and watching beat the star x
3157,0,Sentiment140, Noone I know is on Twitter!!!
4654,1,Sentiment140,#coffee time 
567,1,Sentiment140, #ASOT400
5645,0,Sentiment140, needddds her boyfriend NOW
6115,0,Sentiment140, sad about stupid stuff
4023,1,Sentiment140, Mothers Day
3184,0,Sentiment140," oh dears, @Rainbow__Bright.  I'm so sorry to hear that."
4933,0,Sentiment140, this is a horrible day.
5524,0,Sentiment140, missin my boys rip casey &amp;&amp; michael
4548,0,Sentiment140,#bcleeds09 was brill yesterday.  However I drank too much.  Have just woken up.  Feel stiff. Have so many things to do so wont go today 
2960,0,Sentiment140, I miss u mum  So much. I wish u were here because u r the one I would be talking about Andrew right now   
4101,0,Sentiment140, my girl makes me cry ugly!
1577,0,Sentiment140, I have to wait till next Tuesday to see star trek cause no one will go with me till then.  Friends suck.
4317,0,Sentiment140, not a happy bunny today i have to go to school in 6 mins .........school sucks!
1329,0,Sentiment140," i didn't get to cook, instead had dogs... it was ok, i guess. kinda tired but not sleepy :-s btw i so &lt;3 my new book lol"
2147,1,Sentiment140, good weekend. now ISU's woooo
5165,0,Sentiment140,"!/2 till I have my girls close to home doing the TGIF thing,wish my twitter girls could be here too! "
3747,1,Sentiment140, it's because of me!
593,0,Sentiment140, at work ! Fuck !
2687,0,Sentiment140, less and less people have been partying lately.
4491,1,Sentiment140, Pretty sure nothing can foul my mood now.
1418,0,Sentiment140, byee guysss
15,0,Sentiment140,     ok thats it you win.
4165,0,Sentiment140," woe! even after updating my name, I'm not searchable by &quot;brilliance in sight&quot; maybe Twitter will catch up!"
3189,0,Sentiment140, oh nooo crying time..this part of the movie is so sad
1177,1,Sentiment140," all smiles. im fairly hapy with what has happened yesterday, even though some other had to put a damper  on things *cough*"
1696,0,Sentiment140," I love him, and now, we're not even friends&lt;\3"
3334,0,Sentiment140, im not liking this. It sucks
3297,0,Sentiment140, one point!!
3102,0,Sentiment140, I was suppose to be mentality prepared for this but can't help it get to me
3359,0,Sentiment140, im sorry I thought u name was sadie shame on me
4006,0,Sentiment140, miss you boys hope we see us again soon and make Party together :*
5605,0,Sentiment140,#atishoo W1 4 
2144,1,Sentiment140," Good morning peeps, ahhh it's gonna be a wonderful Saturday "
1395,1,Sentiment140, bored..yo!
2261,0,Sentiment140," He read my last message on myspace, and didn't reply. Im scared he dont want to talk to me really.  Ugh, I will never find anybody..."
2310,1,Sentiment140," hihooo(:  but,, i think i'm gonna be on my granda's house :3 haha  til late so... i'll be here few minutes :O"
4259,0,Sentiment140," no mel in religion, i guess im spilling all my boy stories to jackie tomorrow."
105,0,Sentiment140,  probably guna get off soon since no one is talkin no more
6011,1,Sentiment140,#chesterday Chester get back here! 
884,0,Sentiment140, @iggigg too busy to see me in London this evening. What is a boy to do?
5770,1,Sentiment140, nighty..
620,0,Sentiment140,"- bed ; I gotta get up early  , only 5 more days of this bullshit  . SUMMER!!! &lt;3"
831,1,Sentiment140," Congrats to AL's newest state Senator elect, Democrat Mark Keahey. http://is.gd/MRr3 #alpolitics"
4625,0,Sentiment140,#bookieb Oh no looks like I missed the whole thing. Timezone issues  Oh I hope I am sending this right lol
3384,0,Sentiment140, red wings are gonna win again...
1187,1,Sentiment140, am 200 updates in Twitter #stats
4558,0,Sentiment140,#BGT DIVERSITYYYYY; i want that little boy with glasses  !!
5835,1,Sentiment140,#BGT Follow me guys 
2952,0,Sentiment140, i miss him so much.
4126,0,Sentiment140, My other brother's sick...
2669,0,Sentiment140, I have no hair left trying to book train to Sheffield for Sun .. anyone ? I'm helping a pal fufill a dream to see Beyonce ... STRESS !
1578,0,Sentiment140," i havent actually seen my bestfriend in maybe a month... My fault, i been so busy... And i miss her!"
1420,0,Sentiment140," I dnt knw, i feel lke i shuld try."
1073,1,Sentiment140, good to hear from you
3098,0,Sentiment140," I wanted the shiny shiny FA Cup. Berba can go away now, yesyes."
6044,0,Sentiment140,#iconfess we still went on other datea 
5637,0,Sentiment140, my tummy hurts!
4235,0,Sentiment140, myspace isn't working
4630,1,Sentiment140,#brifacts this the last 1 i love apples and bananas...especially in milkshake form 
3661,1,Sentiment140," it's such a nice day, not doing much  but it's ok - we've finally got a tv remote  on demand = happiness on a notdoingalot day "
4296,0,Sentiment140,# About to head back to work - the holidays over 
5572,1,Sentiment140,"#andyhurleyday WOO! Happy birthday dude, you totally deserve to kick back today "
1444,0,Sentiment140, I feel like my ipod is gonna die on me today. (The apple of my eye-double pun)
4504,1,Sentiment140, rEAding stories on quizillia
4152,0,Sentiment140, wish i could've made things better baybeh'
5389,1,Sentiment140,"#followfriday @mrgunn for science and all sorts of useful information, based in lovely San Diego, a bustling biotech cluster "
554,0,Sentiment140,  so bored
735,1,Sentiment140, ??? what does it means ?
5614,0,Sentiment140, my mom won't let me watch JONAS.
5822,1,Sentiment140,"#bgt - 2 grand, I like them  - but them I'm soft as a blamange!"
4306,1,Sentiment140,#1 Google search result for &quot;want to see something gross&quot; is my blog... couldn't be prouder! 
3388,0,Sentiment140,- Reruns of &quot;House&quot; that have Kal Penn in them make me sad 
522,0,Sentiment140,  i miss my brother.. i worry about him.
5208,1,Sentiment140,#30SECONDSTOMARS #marsiscoming #30SECONDSTOMARS #marsiscoming #30SECONDSTOMARS #marsiscoming #30SECONDSTOMARS  #30SECONDSTOMARS
106,0,Sentiment140,  really wanted Safina to pull out a win &amp; to lose like that...
2100,0,Sentiment140,- Going to get ready for my dentist appointment at 130 PM 
4806,0,Sentiment140,#dontyouhate when u listening to @djcamilo on the radio and the station goes out of range 
1287,1,Sentiment140, hope you all are having a good day/night.............. :-D
3316,1,Sentiment140, picking up new mcfly tickets at the venue. SO EFFING EXCITED. i nearly cried with relief. haha.
3631,1,Sentiment140," Is finishing off the semester, with less than a week remaining!"
3499,0,Sentiment140, I won't see you at all tomorrow. Its work then movies. Then sleep before more work. The one day a yr I should see you I won't... 
1703,1,Sentiment140, i loved the new calf
6110,0,Sentiment140, rt @raffertie: please don't buy the version of Stomping Grounds VIP that has come out. mastering has been screwed up. trying to sort it
242,0,Sentiment140,          FUCK YOU!
2271,1,Sentiment140,- Happpy Monday night everyone! 
329,0,Sentiment140,   Wondering why I feel like I do...I'll feel better though...Its all good! I'll be happy inspite of...Tweet ya lata 
3951,1,Sentiment140," TOO HOT!! I WANT RAIN!!!! and everyone complains when it rains, and now everyone complains coz it sunny!!"
3215,0,Sentiment140, idk if i should have said that
2782,0,Sentiment140," i just want to crawl in bed with some cough drops, tissue box, and put on a movie. (("
608,1,Sentiment140, baby you like my favorite dessert I just can not get enough of you love you I'm yours 4Eva
198,0,Sentiment140,- @Em91 Edinburgh fringe is only 10 weeks away?! I need monies  Btw I'm Elliott from @angryfeet - blame @howlieT for the Twitter intrusion
1649,1,Sentiment140, CUBASE IS WORKING OH MY GOD
565,0,Sentiment140," !my grandma just told me she thinks I'm stupid. Well, hey thanks, G."
1354,0,Sentiment140, At least today is ok.
2422,0,Sentiment140, How do I make my headache go away?
4401,1,Sentiment140, ok twitter world we r bacK online!!!!
4698,0,Sentiment140, so sad mom at the hospital
2228,1,Sentiment140, had a cool lil night. Now at Berrie's about to eat pizza waitin for @NOEL4PRESIDENT
2234,0,Sentiment140, hangover
4464,1,Sentiment140,#andyhurleyday 
1381,1,Sentiment140, Bethenny Frankel Starred In Hollywood Hills 90028 http://tinyurl.com/qytxx4
4234,0,Sentiment140, my windshield cracked 
3464,1,Sentiment140, SMILE! Happy looks good on you  http://tumblr.com/x7o1xg3d9
21,0,Sentiment140,    Very sad about Iran.
2323,0,Sentiment140, it makes me sad
6004,1,Sentiment140,"#charity tuesday Diabetes UK, charity for ppl with diabetes, their family, friends and carers  www.diabetes.org.uk How are you?"
3859,0,Sentiment140, they cancelled the guitar hero tournament 
136,0,Sentiment140," #Susan Boyle didnt win! mh well, diversity was very good though! CONGRATZ!!"
4096,0,Sentiment140,- my feet are 3 times their normal size and puffing out of my sandals. 
2444,0,Sentiment140, I cant believe it
5303,1,Sentiment140,#flylady Listening to the Focus Makes Me Fabulous show by FlyLady Tools on BlogTalkRadio - http://tobtr.com/s/549205 
2814,1,Sentiment140,--- Meagan Good Fansite ; FOLLOW US! 
4242,0,Sentiment140, never drinking again... Famous last words it says with it's headache / hangover.
5987,1,Sentiment140, Please let me get a photographing job oh holy twitter one...
120,0,Sentiment140,  very much so 
710,1,Sentiment140,-- . =D There's my BOO.  *Blushes*
1602,0,Sentiment140, I just wanna swim some laps but all the lanes are taken! This sucks.
126,0,Sentiment140, - Why must people be so picky. I mean 6 hours work and no dice!? whatï¿½s up with that! http://tumblr.com/xsg1m3ufn
3576,1,Sentiment140, Study leave!  Finally!
3636,0,Sentiment140, Is so ill and dizzy i feel so darn bad and am currently feeling so sorry for myself it hurts so bad i've never felt this bad..Laurina..x
3873,0,Sentiment140, this is so sad......
2673,0,Sentiment140, last day of weekend.
5018,0,Sentiment140," we are out, I was telling you #PakistanWillWin #PakCricket omg"
3961,0,Sentiment140," turns out he isn't, hilarious though."
4452,1,Sentiment140,#afazenda Animal esse reality show!  hein? hein?
5935,1,Sentiment140,#haveyouever wished Xmen was real  &amp; that you were one of them. LOL. i do. HAHA. mutants rule! 
5090,0,Sentiment140, will the tour be on tv? in LA?
5231,1,Sentiment140,#3turnoffwords I'm wearing tights! 
674,1,Sentiment140,-- . BABBBBBBBBYY .  I missed you MUCH!!
2046,0,Sentiment140, i'm getting sick. That's not good with Salkehatchie on saturday.
6107,0,Sentiment140, rite aid
226,1,Sentiment140," @masareus&quot; @dhempe congrats bhai, but like the oldies in &gt; used to say - arre bhai kuch kam ka http://tr.im/ox5G"
5287,0,Sentiment140,"#finaltweet Guys, I have to tell you this before I die. It was @CeciliaBFoxy; I can hear her breaking down the door, even now. Goodbye. "
5708,1,Sentiment140,#goodsex is the perfect way to start your day. 
3980,0,Sentiment140," virgin blue really dropped the ball today. Flight delayed 3 times, 3 different gates. And my boarding pass and seat had to be changed."
2451,1,Sentiment140, Josh Groban's music is my happy place.
3597,0,Sentiment140, I'm rlly rlly rlly rlly rlly bored.
6025,0,Sentiment140,#continuitysummit was a blast! @ryanlee is such a good guy. Met with some great minds! Getting in car to JFK now  no sleep till Brooklyn?
2135,1,Sentiment140, Going to london in 2 days hopefully 
4738,0,Sentiment140, spring break is over way too early... now i have to back to &quot;school&quot; 
1145,1,Sentiment140, and I dunno why but with you I'd dance in a storm in my best dress.
5135,1,Sentiment140, You might see a vid on youtube of me but don't be inclined to watch it. Haha. Love you all. Tweet tweet. 
3677,1,Sentiment140, JIMMY CAREY
4592,0,Sentiment140, semi driving west bound on 91 crashed-drove through divider and is now on 91E. Side. Sending my prayers!
4601,0,Sentiment140, shitting brix. I'm gna try to take a pic of the house for you guys haaha
3942,0,Sentiment140, Maria is a loser. She sucks at point break
4554,0,Sentiment140,#BGT def won't vote this year... Gutted 2nite ain't the family event it used 2 be in our house... I'm the only 1 watching 
6053,0,Sentiment140,#ILHM Soul Children of Chgo sing &quot;America the Beautiful&quot;   iPhone battery won't last 2 more hours of updates. 
4896,0,Sentiment140,#eyeblasterday heading back to the office  thank you for the great day ooo @eyeblaster
3092,0,Sentiment140," I want kisses, too."
2208,0,Sentiment140,- iPhone 3gs in hand... updating it with all my crap 
3280,0,Sentiment140, i wish he wasnt so down on himself idk how to make him cheer up boys state is depressing the crap out of him &amp; me..missing him like crazy
4195,0,Sentiment140," Yes, I'm watching qualification now.  Hamilton's out of Q1. You watching it @AtomicT?"
5628,0,Sentiment140, My speed wasn't up to par today. 15 seconds slower!
4521,0,Sentiment140," RIP @cnnbrk : 4 dead in D.C Metro train collision, CNN confirms http://bit.ly/dctrain"
3424,0,Sentiment140, iPhone update 3.0 won't work for me ;( I keep getting a message popping up say the server was disconected  No jailbreak yet either ;(
723,0,Sentiment140, .....why am i so sad??...becuz of u or becuz of the exam??.....i think..becuz of u... 
2331,1,Sentiment140,- it's an old Jeremy Enigk night. Return of the Frog Queen / United States of Leland OST.  Love Enigk.
529,1,Sentiment140,  just saw sink into me the whole video on kerrang! ive seen it before loads but its so much better on tv!
3802,1,Sentiment140, Katie Herzig tweeted my tattoo of her &quot;Jenny Lynn&quot; lyrics.  Check it! http://yfrog.com/0j90oj and check out her music!
3339,1,Sentiment140, im pretty sure it would fit into my pants as well!! @beaulieu85 its amazing but i jus found my tiny lil greg guy that i got from pbmall
395,0,Sentiment140, @xxkirahxx is fulfilling my life's ambition 2 go 2 a Jonas Brothers concert + I went 2 HMV and the new album is already sold out! Why me?
2056,0,Sentiment140, I'm gonna twit someone on a random time and day so they'll have a chance to reply.
5949,1,Sentiment140,"#hoppusday Mark, you should make a YouTube channel and film Blink-182 studio updates! We'd all appreciate that. "
3938,0,Sentiment140, Man I hate the BNP. The Greens are so great and its horrible to see them grouped down with such a horrible party in seats ._.
1715,0,Sentiment140, i miss my leddy boo...
5350,1,Sentiment140,#Followfriday @erincarly Because she is one of my &quot;homies&quot; and a Diva of photography. Throw some gigs her way. You won't regret. 
865,0,Sentiment140, does anybody know the statistics homework *not that I have started* nobody is answering my emails about business studies...
2829,0,Sentiment140, mm alright
1901,0,Sentiment140," Feel like shit. Choked on something last night &amp; now throat &amp; chest ache &amp; headache. Chicken noodle soup, sandwich, chips, then bed."
5699,0,Sentiment140,#goodpussy make a nigga wanna kill the bitch if she try to leave 
6031,0,Sentiment140,"#damnimiss the groups Total, SWV, 702 "
687,0,Sentiment140, ..i forgot to bring my new sharpie pens to school today..booo!
1353,0,Sentiment140, at Katy Perry delaying her Birmingham gig for nearly 3 months.
1397,0,Sentiment140, bout to leave NY bak to CT--damn I been comin out here err day this week! Lol smh jus makin quik stops handlin bizzz
2757,0,Sentiment140, I just ran out of my favorite cologne...Who wants to buy me some more??
4694,0,Sentiment140, so much for barcampsd today. Worked til 4 and planned to power nap then go....just woke up. ::sigh::
3301,0,Sentiment140, ouchh i poked my eye.
966,0,Sentiment140,- @TendaiJoe well none of us are getting out of here alive but we would like to stay a while.I wish people would stop killing each other 
3754,0,Sentiment140, its not my last dayyy!
1250,0,Sentiment140," are selena gomez &amp; taylor lautner going out, that just ruined my day"
3494,0,Sentiment140, Sometimes I wonder...
1472,1,Sentiment140," Beboing, Twitteringinging, TVing!  dihd i say i luv twilight yet? Wel... I LUV TWILIGHT!"
4441,0,Sentiment140, please!! hope and time.. nothing more! D:
4884,1,Sentiment140,#eu09 gives new meaning to the word #mashup 
95,0,Sentiment140, - Longest night ever.. ugh! http://tumblr.com/xwp1yxhi6
5044,0,Sentiment140, what did my mum buy here!? Its like 1 hour there
489,0,Sentiment140, and I think that's why I felt really sick and depressed in school today cuz of all the stress.. I'm glad I got that off my chest :/
1081,1,Sentiment140, Got Escala's new album now.  T'is very good 
6037,0,Sentiment140,#howarewe 5/10 sunburnt and sweaty 
103,1,Sentiment140,  oh thank you!
3758,0,Sentiment140, it's so nice and warm out but I'm stuck in this stupid cold diner
2434,0,Sentiment140, i am regretting getting that film developed... RIP
1266,1,Sentiment140," awesome! Man, I miss you. I woke up thinking about you....it looks like you've been in my dreams!"
4478,0,Sentiment140,#asot400 -5 mins left  . Join the fb group @ http://bit.ly/asot400
5068,0,Sentiment140, why cant I log in on my phoneeee..it just wont let meee
50,0,Sentiment140,  another year of Lakers .. That's neither magic nor fun ...
3498,0,Sentiment140, i won't b able to finish my hours!!!  it sucks!!!
5750,0,Sentiment140,#haveyouever drive in the rain?  http://bit.ly/HfqMP
6019,0,Sentiment140,"#CNNFail 5:00 am in New York &amp; CNN-US still showing repeat from last night. #MSNBCFail has repeat of Biden on MTP. #FoxNewsFail, repeat. "
